datetime,day of week,category,sub_category,amount,description
2025-03-31,Monday,Food & Drink,Cafe / Coffee,546,Cafe With Viana At Pasha
2025-03-31,Monday,Groceries,Supermarket,99,Grocery Supermarket
2025-03-31,Monday,Income,Reimbursements,273,Viana'S Share Paid Back
2025-03-31,Monday,Gifts/Donations,Family/Friends,5000,Mom Eidi
2025-03-30,Sunday,Transport,Fuel / Gas,85,Gas
2025-03-30,Sunday,Groceries,Supermarket,109,Grocery Supermarket
2025-03-30,Sunday,Food & Drink,Cafe / Coffee,150,Grocery Dog Food
2025-03-30,Sunday,Utilities & Bills,Internet / Mobile Data,53,Irancell Data
2025-03-29,Saturday,Myself,Snacks,62,Sm
2025-03-29,Saturday,Food & Drink,Cafe / Coffee,458,Pizza With Tara
2025-03-28,Friday,Shopping,Clothes,1341,Pants From Bqb
2025-04-01,Tuesday,Utilities & Bills,Vpn,60,Asal Share For Vpn
2025-04-02,Wednesday,Groceries,Fruits & Veggies,265,Grocery Fruits
2025-04-02,Wednesday,Groceries,Supermarket,211,Grocery Supermarket
2025-04-02,Wednesday,Groceries,Fruits & Veggies,243,Grocery Fruits
2025-04-02,Wednesday,Groceries,Supermarket,190,Grocery Supermarket
2025-04-02,Wednesday,Shopping,Clothes,84,Post For Pants
2025-04-03,Thursday,Utilities & Bills,Vpn,330,Vpn For Guys
2025-04-03,Thursday,Health,Medicine,518,Drugs For Dad
2025-04-03,Thursday,Groceries,Supermarket,89,Grocery Supermarket
2025-04-03,Thursday,Reimbursement,Reimbursement,180,Poopak Share From Café Paidback
2025-04-04,Friday,Food & Drink,Cafe / Coffee,140,Asal Share From Café
2025-04-04,Friday,Food & Drink,Cafe / Coffee,735,Café With Guys
2025-04-04,Friday,Food & Drink,Cafe / Coffee,454,Café With Viana Nightvan
2025-04-05,Saturday,Utilities & Bills,Internet / Mobile Data,129,Irancell Home
2025-04-06,Sunday,Utilities & Bills,Internet / Mobile Data,53,Irancell Data
2025-04-06,Sunday,Income,Reimbursements,157,Viana'S Share Paid Back
2025-04-07,Monday,Shopping,Books,482,Books
2025-04-07,Monday,Income,Income,6400,Income Amo Mos
2025-04-07,Monday,Food & Drink,Cafe / Coffee,497,Café Mora With Nazanin
2025-04-07,Monday,Groceries,Supermarket,48,Grocery Supermarket
2025-04-07,Monday,Shopping,Clothes,1180,Pants From Bqb
2025-04-08,Tuesday,Other,Other,100,Uni
2025-04-08,Tuesday,Transport,Ride-Hailing,475,Sarigasht To Tehran
2025-04-08,Tuesday,Transport,Snapp,121,Snapp
2025-04-08,Tuesday,Reimbursement,Reimbursement,213,Nazanin Share From Mora Paidback
2025-04-09,Wednesday,Food & Drink,Cafe / Coffee,312,Café Carbon Breakfast
2025-04-09,Wednesday,Other,Other,30,Museum Entry
2025-04-09,Wednesday,Gifts/Donations,Family/Friends,544,Tara'S Birthday Gift
2025-04-09,Wednesday,Food & Drink,Cafe / Coffee,480,Pizza With Tara
2025-04-09,Wednesday,Food & Drink,Cafe / Coffee,100,Icecream With Tara
2025-04-10,Thursday,Food & Drink,Cafe / Coffee,147,Lunch Cluna At Sharif
2025-04-10,Thursday,Food & Drink,Cafe / Coffee,48,Coffee At Sharif
2025-04-10,Thursday,Transport,Snapp,53,Snapp
2025-04-12,Saturday,Myself,Nails,395,Gelish
2025-04-12,Saturday,Transport,Snapp,37,Snapp
2025-04-12,Saturday,Groceries,Fruits & Veggies,30,Grocery Fruits
2025-04-13,Sunday,Myself,Snacks,47,Sm
2025-04-13,Sunday,Myself,Essentials,50,Essentials Ipek Pad
2025-04-13,Sunday,Utilities & Bills,Internet / Mobile Data,110,Irancell Bill
2025-04-14,Monday,Food & Drink,Cafe / Coffee,115,Café Mora With Asal
2025-04-14,Monday,Myself,Snacks,37,Sm
2025-04-15,Tuesday,Income,Yaraneh,400,Income Yaraneh
2025-04-15,Tuesday,Income,Income,4800,Income Amo Mor
2025-04-15,Tuesday,Other,Other,140,Flower For Aziz Joon
2025-04-15,Tuesday,Transport,Snapp,38,Snapp
2025-04-15,Tuesday,Gifts/Donations,Family/Friends,586,Tara'S Birthday Gift
2025-04-15,Tuesday,Food & Drink,Cafe / Coffee,154,Debt Mobina Bakeroom Share
2025-04-18,Friday,Food & Drink,Cafe / Coffee,220,Food Coffice Pennini
2025-04-18,Friday,Gifts/Donations,Family/Friends,499,Mom Birthday Gifts
2025-04-18,Friday,Gifts/Donations,Family/Friends,819,Mom Birthday Gifts
2025-04-18,Friday,Utilities & Bills,Gpt,120,Chat Gpt
2025-04-18,Friday,Food & Drink,Cafe / Coffee,210,Café Nightvan Share To Viana
2025-04-19,Saturday,Food & Drink,Cake,97,Cake
2025-04-21,Monday,Groceries,Fruits & Veggies,90,Grocery Fruits
2025-04-21,Monday,Groceries,Fruits & Veggies,70,Grocery Fruits
2025-04-21,Monday,Groceries,Fruits & Veggies,80,Grocery Fruits
2025-04-21,Monday,Transport,Snapp,49,Snapp
2025-04-21,Monday,Shopping,Digikala,612,Digikala
2025-04-22,Tuesday,Myself,Gym,1400,Gym
2025-04-22,Tuesday,Other,Other,180,?
2025-04-22,Tuesday,Other,Other,45,?
2025-04-23,Wednesday,Food & Drink,Cake,288,Cake For Mom
2025-04-23,Wednesday,Transport,Snapp,78,Snapp
2025-04-23,Wednesday,Transport,Ride-Hailing,20,Tehran Freeway
2025-04-24,Thursday,Utilities & Bills,Internet / Mobile Data,126,Irancell Home
2025-04-25,Friday,Transport,Snapp,53,Snapp
2025-04-25,Friday,Food & Drink,Cafe / Coffee,431,Café Coffice
2025-04-25,Friday,Reimbursement,Reimbursement,216,Asal Share For Coffice Paidback
2025-04-25,Friday,Food & Drink,Cafe / Coffee,253,Debt Navid Share For Jigarakie
2025-04-26,Saturday,Gifts/Donations,Family/Friends,850,Mom Birthday Gifts Ea Messaj
2025-04-26,Saturday,Groceries,Fruits & Veggies,120,Grocery Fruits
2025-04-26,Saturday,Groceries,Fruits & Veggies,150,Grocery Fruits
2025-04-27,Sunday,Income,Yaraneh,400,Income Yaraneh
2025-04-28,Monday,Food & Drink,Cafe / Coffee,110,Café Samt
2025-04-28,Monday,Food & Drink,Cafe / Coffee,509,Café Bakeroom With Viana
2025-04-29,Tuesday,Groceries,Supermarket,46,Grocery Supermarket
2025-04-29,Tuesday,Groceries,Supermarket,148,Grocery Supermarket
2025-04-30,Wednesday,Food & Drink,Cafe / Coffee,45,Café Bookcity
2025-04-30,Wednesday,Groceries,Supermarket,467,Grocery Supermarket
2025-05-02,Friday,Income,Profit,58,Income Profit
2025-05-03,Saturday,Transport,Fuel / Gas,43,Gas
2025-05-03,Saturday,Myself,Snacks,60,Sm
2025-05-04,Sunday,Food & Drink,Cafe / Coffee,245,Debt Faraz Gransa
2025-05-04,Sunday,Myself,Snacks,48,Sm
2025-05-04,Sunday,Food & Drink,Cafe / Coffee,120,Cafe Samt With Poopak
2025-05-06,Tuesday,Food & Drink,Cafe / Coffee,60,Café Tea With Viana
2025-05-06,Tuesday,Reimbursement,Reimbursement,94,Mobina Share Paidback
2025-05-06,Tuesday,Food & Drink,Cake,189,Nazanin Cake
2025-05-07,Wednesday,Reimbursement,Reimbursement,98,Nazanin Share Paidback
2025-05-07,Wednesday,Other,Other,120,?
2025-05-07,Wednesday,Other,Other,700,Mahmoudreza Telc
2025-05-08,Thursday,Food & Drink,Cake,366,Mom Birthday Cake
2025-05-09,Friday,Shopping,Clothes,373,Cloth
2025-05-09,Friday,Myself,Snacks,140,Sm
2025-05-09,Friday,Myself,Snacks,280,Sm
2025-05-09,Friday,Myself,Snacks,155,Sm
2025-05-10,Saturday,Reimbursement,Reimbursement,140,Asal Share Paidback
2025-05-10,Saturday,Food & Drink,Cafe / Coffee,126,Debt To Poopak For Pizza
